;tool;sol_version;analysis;type;subtype;insecure;error;ground_truth
0;mythril-0.23.15;v4;source code;CreateBasedReentrancy;NonReentrant;0.0;0;0
1;mythril-0.23.15;v4;source code;CreateBasedReentrancy;NonVulnerableFixedAddress;0.0;0;0
2;mythril-0.23.15;v4;source code;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;0.0;0;0
3;mythril-0.23.15;v4;source code;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;0.0;0;0
4;mythril-0.23.15;v4;source code;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;0.0;0;0
5;mythril-0.23.15;v4;source code;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;0.0;0;1
6;mythril-0.23.15;v4;source code;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;0.0;0;1
7;mythril-0.23.15;v4;source code;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;0.0;0;1
8;mythril-0.23.15;v4;source code;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;0.0;0;1
9;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;NonReentrant;0.0;0;0
10;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;NonVulnerableFixedAddress;0.0;0;0
11;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;0.0;0;0
12;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;0.0;0;0
13;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;0.0;0;0
14;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;SendFixedAddress;0.0;0;0
15;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;SendUserDefinedAddress;0.0;0;0
16;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;TransferFixedAddress;0.0;0;0
17;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;TransferUserDefinedAddress;0.0;0;0
18;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;0.0;0;1
19;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;0.0;0;1
20;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;0.0;0;1
21;mythril-0.23.15;v4;source code;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;0.0;0;1
22;mythril-0.23.15;v4;source code;DelegatedReentrancy;NonReentrant;0.0;0;0
23;mythril-0.23.15;v4;source code;DelegatedReentrancy;NonVulnerableFixedAddress;0.0;0;0
24;mythril-0.23.15;v4;source code;DelegatedReentrancy;NonVulnerableUserDefinedAddress;0.0;0;0
25;mythril-0.23.15;v4;source code;DelegatedReentrancy;ReentrantCodePartsFixedAddress;0.0;0;0
26;mythril-0.23.15;v4;source code;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;0.0;0;0
27;mythril-0.23.15;v4;source code;DelegatedReentrancy;SendFixedAddress;0.0;0;0
28;mythril-0.23.15;v4;source code;DelegatedReentrancy;SendUserDefinedAddress;0.0;0;0
29;mythril-0.23.15;v4;source code;DelegatedReentrancy;TransferFixedAddress;0.0;0;0
30;mythril-0.23.15;v4;source code;DelegatedReentrancy;TransferUserDefinedAddress;0.0;0;0
31;mythril-0.23.15;v4;source code;DelegatedReentrancy;VulnerableEtherLossFixedAddress;0.0;0;1
32;mythril-0.23.15;v4;source code;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;0.0;0;1
33;mythril-0.23.15;v4;source code;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
34;mythril-0.23.15;v4;source code;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
35;mythril-0.23.15;v4;source code;SameFunctionReentrancy;NonReentrant;0.0;0;0
36;mythril-0.23.15;v4;source code;SameFunctionReentrancy;NonVulnerableFixedAddress;0.0;0;0
37;mythril-0.23.15;v4;source code;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
