Time;Type;Tool;Accuracy w/o error;Accuracy w/ error;Precision;Recall;Specificity;Error rate;TP;FP;TN;FN;Error;Total
2025-01-10 11:58:03.211000;v4;-;0.7152542372881356;0.6762820512820513;0.5394736842105263;0.45555555555555555;0.8292682926829268;0.05448717948717949;41;35;170;49;17;312
2025-01-10 11:58:03.211000;v4;ethor-2023;0.43243243243243246;0.3076923076923077;0.3225806451612903;1.0;0.2222222222222222;0.28846153846153844;10;21;6;0;15;52
2025-01-10 11:58:03.211000;v4;mythril-0.23.15;0.7450980392156863;0.7307692307692307;0.6666666666666666;0.375;0.9142857142857143;0.019230769230769232;12;6;64;20;2;104
2025-01-10 11:58:03.211000;v4;oyente;0.7692307692307693;0.7692307692307693;0.75;0.375;0.9444444444444444;0.0;12;4;68;20;0;104
2025-01-10 11:58:03.211000;v4;sailfish;0.75;0.75;0.6363636363636364;0.4375;0.8888888888888888;0.0;7;4;32;9;0;52
2025-01-10 11:58:03.211000;v5;-;0.6794425087108014;0.625;0.4777777777777778;0.48863636363636365;0.7638190954773869;0.08012820512820513;43;47;152;45;25;312
2025-01-10 11:58:03.211000;v5;ethor-2023;0.4473684210526316;0.3269230769230769;0.34375;1.0;0.2222222222222222;0.2692307692307692;11;21;6;0;14;52
2025-01-10 11:58:03.211000;v5;mythril-0.23.15;0.6666666666666666;0.6538461538461539;0.47058823529411764;0.5;0.7428571428571429;0.019230769230769232;16;18;52;16;2;104
2025-01-10 11:58:03.211000;v5;oyente;0.7474747474747475;0.7115384615384616;0.7142857142857143;0.3225806451612903;0.9411764705882353;0.04807692307692308;10;4;64;21;5;104
2025-01-10 11:58:03.211000;v5;sailfish;0.75;0.6923076923076923;0.6;0.42857142857142855;0.8823529411764706;0.07692307692307693;6;4;30;8;4;52
2025-01-10 11:58:03.211000;v6;-;0.6753731343283582;0.5801282051282052;0.47674418604651164;0.4939759036144578;0.7567567567567568;0.14102564102564102;41;45;140;42;44;312
2025-01-10 11:58:03.211000;v6;ethor-2023;0.46153846153846156;0.34615384615384615;0.36363636363636365;1.0;0.2222222222222222;0.25;12;21;6;0;13;52
2025-01-10 11:58:03.211000;v6;mythril-0.23.15;0.6666666666666666;0.6538461538461539;0.47058823529411764;0.5;0.7428571428571429;0.019230769230769232;16;18;52;16;2;104
2025-01-10 11:58:03.211000;v6;oyente;0.7473684210526316;0.6826923076923077;0.7333333333333333;0.3548387096774194;0.9375;0.08653846153846154;11;4;60;20;9;104
2025-01-10 11:58:03.211000;v6;sailfish;0.75;0.46153846153846156;0.5;0.25;0.9166666666666666;0.38461538461538464;2;2;22;6;20;52
2025-01-10 11:58:03.211000;v7;-;0.6781115879828327;0.6076923076923076;0.4878048780487805;0.547945205479452;0.7375;0.10384615384615385;40;42;118;33;27;260
2025-01-10 11:58:03.211000;v7;ethor-2023;0.46153846153846156;0.34615384615384615;0.36363636363636365;1.0;0.2222222222222222;0.25;12;21;6;0;13;52
2025-01-10 11:58:03.211000;v7;mythril-0.23.15;0.6666666666666666;0.6538461538461539;0.47058823529411764;0.5;0.7428571428571429;0.019230769230769232;16;18;52;16;2;104
2025-01-10 11:58:03.211000;v7;oyente;0.782608695652174;0.6923076923076923;0.8;0.41379310344827586;0.9523809523809523;0.11538461538461539;12;3;60;17;12;104
2025-01-10 11:58:03.211000;v7;sailfish;nan;nan;nan;nan;nan;nan;0;0;0;0;0;0
2025-01-10 11:58:03.211000;v8;-;0.672316384180791;0.5721153846153846;0.40540540540540543;0.29411764705882354;0.8253968253968254;0.14903846153846154;15;22;104;36;31;208
2025-01-10 11:58:03.211000;v8;ethor-2023;0.39285714285714285;0.21153846153846154;0.22727272727272727;1.0;0.2608695652173913;0.46153846153846156;5;17;6;0;24;52
2025-01-10 11:58:03.211000;v8;mythril-0.23.15;0.7211538461538461;0.7211538461538461;0.6666666666666666;0.1875;0.9583333333333334;0.0;6;3;69;26;0;104
2025-01-10 11:58:03.211000;v8;oyente;0.7333333333333333;0.6346153846153846;0.6666666666666666;0.2857142857142857;0.9354838709677419;0.1346153846153846;4;2;29;10;7;52
2025-01-10 11:58:03.211000;v8;sailfish;nan;nan;nan;nan;nan;nan;0;0;0;0;0;0
