tool;sol_version;type;subtype;name;insecure;error;ground_truth;filename
mythril-0.23.15;v4;CreateBasedReentrancy;NonReentrant;NonReentrant.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\No\NonReentrant\NonReentrant.sol
mythril-0.23.15;v4;CreateBasedReentrancy;ReentrantCodeParts;ReentrantCodePartsFixedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\No\ReentrantCodeParts\FixedAddress\ReentrantCodePartsFixedAddress.sol
mythril-0.23.15;v4;CreateBasedReentrancy;ReentrantCodeParts;ReentrantCodePartsUserDefinedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\No\ReentrantCodeParts\UserDefinedAddress\ReentrantCodePartsUserDefinedAddress.sol
mythril-0.23.15;v4;CreateBasedReentrancy;NonVulnerable;ReentrantNonVulnerableFixedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\Reentrant\NonVulnerable\FixedAddress\ReentrantNonVulnerableFixedAddress.sol
mythril-0.23.15;v4;CreateBasedReentrancy;NonVulnerable;ReentrantNonVulnerableUserDefinedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\Reentrant\NonVulnerable\UserDefinedAddress\ReentrantNonVulnerableUserDefinedAddress.sol
mythril-0.23.15;v4;CreateBasedReentrancy;Vulnerable;ReentrantVulnerableEtherLossUserFixedAddress.sol;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\Reentrant\Vulnerable\EtherLoss\FixedAddress\ReentrantVulnerableEtherLossUserFixedAddress.sol
mythril-0.23.15;v4;CreateBasedReentrancy;Vulnerable;ReentrantVulnerableEtherLossUserDefinedAddress.sol;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\ReentrantVulnerableEtherLossUserDefinedAddress.sol
mythril-0.23.15;v4;CreateBasedReentrancy;Vulnerable;ReentrantVulnerableNoEtherLossFixedAddress.sol;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\ReentrantVulnerableNoEtherLossFixedAddress.sol
mythril-0.23.15;v4;CreateBasedReentrancy;Vulnerable;ReentrantVulnerableNoEtherLossUserDefinedAddress.sol;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v4\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\ReentrantVulnerableNoEtherLossUserDefinedAddress.sol
mythril-0.23.15;v5;CreateBasedReentrancy;NonReentrant;NonReentrant.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\No\NonReentrant\NonReentrant.sol
mythril-0.23.15;v5;CreateBasedReentrancy;ReentrantCodeParts;ReentrantCodePartsFixedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\No\ReentrantCodeParts\FixedAddress\ReentrantCodePartsFixedAddress.sol
mythril-0.23.15;v5;CreateBasedReentrancy;ReentrantCodeParts;ReentrantCodePartsUserDefinedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\No\ReentrantCodeParts\UserDefinedAddress\ReentrantCodePartsUserDefinedAddress.sol
mythril-0.23.15;v5;CreateBasedReentrancy;NonVulnerable;ReentrantNonVulnerableFixedAddress.sol;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\NonVulnerable\FixedAddress\ReentrantNonVulnerableFixedAddress.sol
