;tool;sol_version;type;subtype;insecure;error;ground_truth
0;ethor-2023;v4;CreateBasedReentrancy;NonReentrant;1.0;0;0
1;ethor-2023;v4;CreateBasedReentrancy;NonVulnerableFixedAddress;1.0;0;0
2;ethor-2023;v4;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
3;ethor-2023;v4;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
4;ethor-2023;v4;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
5;ethor-2023;v4;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
6;ethor-2023;v4;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
7;ethor-2023;v4;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
8;ethor-2023;v4;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
9;ethor-2023;v4;CrossFunctionReentrancy;NonReentrant;0.0;0;0
10;ethor-2023;v4;CrossFunctionReentrancy;NonVulnerableFixedAddress;1.0;0;0
11;ethor-2023;v4;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;1.0;0;0
12;ethor-2023;v4;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;1.0;0;0
13;ethor-2023;v4;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1.0;0;0
14;ethor-2023;v4;CrossFunctionReentrancy;SendFixedAddress;1.0;0;0
15;ethor-2023;v4;CrossFunctionReentrancy;SendUserDefinedAddress;1.0;0;0
16;ethor-2023;v4;CrossFunctionReentrancy;TransferFixedAddress;1.0;0;0
17;ethor-2023;v4;CrossFunctionReentrancy;TransferUserDefinedAddress;1.0;0;0
18;ethor-2023;v4;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;1.0;0;1
19;ethor-2023;v4;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1.0;0;1
20;ethor-2023;v4;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1.0;0;1
21;ethor-2023;v4;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1.0;0;1
22;ethor-2023;v4;DelegatedReentrancy;NonVulnerableFixedAddress;1.0;1;0
23;ethor-2023;v4;DelegatedReentrancy;NonVulnerableUserDefinedAddress;1.0;1;0
